Sender,Receiver,Direction,Document ID,Document Descriptions,Document Status,Document Type,Task,Booking ID,Status,Start Time,Carrier,Senders,Documents,Loads
Faction Labs Pty Ltd,Chemist Warehouse - WA1 - South Guildford,Inbound,PO6647963,PO,,PO,Task 3,MDB-24-ZR7R-8PD0,Completed,1/03/2024 9:30,Startrack Express Perth,Faction Labs Pty Ltd,PO6647963,Inbound Pallets (Lifts): 1
Faction Labs Pty Ltd,Chemist Warehouse - WA1 - South Guildford,Inbound,PO6822530,PO,,PO,Task 4,MDB-24-ZR7R-8PD0,Completed,1/03/2024 9:30,Startrack Express Perth,Faction Labs Pty Ltd,PO6822530,Inbound Pallets (Lifts): 1
Faction Labs Pty Ltd,Chemist Warehouse - WA1 - South Guildford,Inbound,SS-11033740_PO6647963,ASN,,ASN,Task 5,MDB-24-ZR7R-8PD0,Completed,1/03/2024 9:30,Startrack Express Perth,Faction Labs Pty Ltd,SS-11033740_PO6647963,ASN: 1
Faction Labs Pty Ltd,Chemist Warehouse - WA1 - South Guildford,Inbound,SO-11034296_PO6822530,ASN,,ASN,Task 6,MDB-24-ZR7R-8PD0,Completed,1/03/2024 9:30,Startrack Express Perth,Faction Labs Pty Ltd,SO-11034296_PO6822530,ASN: 1
Amyson Pty Ltd,Chemist Warehouse - WA1 - South Guildford,Inbound,PO6812490,PO,,PO,Task 1,MDB-24-3G31-G0MQ,Completed,1/03/2024 9:30,SCT Logistics,Amyson Pty Ltd,PO6812490,Inbound Pallets (Lifts): 1
Amyson Pty Ltd,Chemist Warehouse - WA1 - South Guildford,Inbound,532904_PO6812490,ASN,,ASN,Task 2,MDB-24-3G31-G0MQ,Completed,1/03/2024 9:30,SCT Logistics,Amyson Pty Ltd,532904_PO6812490,ASN: 1
RB Health Australia Pty Ltd,Chemist Warehouse - WA1 - South Guildford,Inbound,PO6814078,PO,,PO,Task 3,MDB-24-3G31-G0MQ,Completed,1/03/2024 9:30,SCT Logistics,RB Health Australia Pty Ltd,PO6814078,Inbound Pallets (Lifts): 1
RB Health Australia Pty Ltd,Chemist Warehouse - WA1 - South Guildford,Inbound,8010239102_PO6814078,ASN,,ASN,Task 4,MDB-24-3G31-G0MQ,Completed,1/03/2024 9:30,SCT Logistics,RB Health Australia Pty Ltd,8010239102_PO6814078,ASN: 1
Bausch & Lomb (Australia) Pty Ltd,Chemist Warehouse - WA1 - South Guildford,Inbound,PO6796007,PO,,PO,Task 1,MDB-24-1VM0-ZP93,Completed,1/03/2024 9:45,AirRoad,Bausch & Lomb (Australia) Pty Ltd,PO6796007,Inbound Pallets (Lifts): 2
Bausch & Lomb (Australia) Pty Ltd,Chemist Warehouse - WA1 - South Guildford,Inbound,1885_PO6796007,ASN,,ASN,Task 2,MDB-24-1VM0-ZP93,Completed,1/03/2024 9:45,AirRoad,Bausch & Lomb (Australia) Pty Ltd,1885_PO6796007,ASN: 1
Aero Healthcare Au Pty Ltd,Chemist Warehouse - WA1 - South Guildford,Inbound,PO6828940,PO,,PO,Task 1,MDB-24-QB7J-YS43,Completed,1/03/2024 10:00,Startrack Express Perth,Aero Healthcare Au Pty Ltd,PO6828940,Inbound Cartons (Lifts): 2
Optipharm Pty Ltd,Chemist Warehouse - WA1 - South Guildford,Inbound,PO6498585,PO,,,Task 1,MDB-24-B6JQ-Y0PD,Completed,1/03/2024 10:00,Straightload Transport ,Optipharm Pty Ltd,PO6498585,Inbound Pallets (Lifts): 5
Substance Pty Ltd,Chemist Warehouse - WA1 - South Guildford,Inbound,PO6845951,PO,,PO,Task 1,MDB-24-9D82-X7VR,Completed,1/03/2024 10:00,Startrack Express Perth,Substance Pty Ltd,PO6845951,Inbound Cartons (Lifts): 2
Substance Pty Ltd,Chemist Warehouse - WA1 - South Guildford,Inbound,420_PO6845951,ASN,,ASN,Task 2,MDB-24-9D82-X7VR,Completed,1/03/2024 10:00,Startrack Express Perth,Substance Pty Ltd,420_PO6845951,ASN: 1
Nutricia Australia Pty Limited,Chemist Warehouse - WA1 - South Guildford,Inbound,PO6719495,PO,,PO,Task 1,MDB-24-Q240-VVQB,Cancelled,,DHL SUPPLY CHAIN,Nutricia Australia Pty Limited,PO6719495,Inbound Pallets (Lifts): 7
Chemist Warehouse - WA1 - South Guildford,Chemist Warehouse - WA1 - South Guildford,Inbound,TO,,,TO,Task 1,MDB-24-5G3D-L576,Completed,5/03/2024 5:30,Cameron,Chemist Warehouse - WA1 - South Guildford,TO,Inbound Pallets (Lifts): 56
Chemist Warehouse - WA1 - South Guildford,Chemist Warehouse - WA1 - South Guildford,Inbound,TO,,,TO,Task 1,MDB-24-DGY6-9BR4,Completed,5/03/2024 5:30,Cameron,Chemist Warehouse - WA1 - South Guildford,TO,Inbound Pallets (Lifts): 48
Procter & Gamble Australia Pty Ltd,Chemist Warehouse - WA1 - South Guildford,Inbound,PO6823134,PO,,PO,Task 1,MDB-24-7G0G-Y14Z,Completed,5/03/2024 7:00,TGE,Procter & Gamble Australia Pty Ltd,PO6823134,Inbound Pallets (Lifts): 10
Procter & Gamble Australia Pty Ltd,Chemist Warehouse - WA1 - South Guildford,Inbound,PO6823244,PO,,PO,Task 2,MDB-24-7G0G-Y14Z,Completed,5/03/2024 7:00,TGE,Procter & Gamble Australia Pty Ltd,PO6823244,Inbound Pallets (Lifts): 9
Procter & Gamble Australia Pty Ltd,Chemist Warehouse - WA1 - South Guildford,Inbound,PO6815072,PO,,PO,Task 3,MDB-24-7G0G-Y14Z,Completed,5/03/2024 7:00,TGE,Procter & Gamble Australia Pty Ltd,PO6815072,Inbound Pallets (Lifts): 3
Procter & Gamble Australia Pty Ltd,Chemist Warehouse - WA1 - South Guildford,Inbound,127970553_PO6823244,ASN,,ASN,Task 4,MDB-24-7G0G-Y14Z,Completed,5/03/2024 7:00,TGE,Procter & Gamble Australia Pty Ltd,127970553_PO6823244,ASN: 1
Procter & Gamble Australia Pty Ltd,Chemist Warehouse - WA1 - South Guildford,Inbound,127970552_PO6823134,ASN,,ASN,Task 5,MDB-24-7G0G-Y14Z,Completed,5/03/2024 7:00,TGE,Procter & Gamble Australia Pty Ltd,127970552_PO6823134,ASN: 1
Procter & Gamble Australia Pty Ltd,Chemist Warehouse - WA1 - South Guildford,Inbound,127970554_PO6815072,ASN,,ASN,Task 6,MDB-24-7G0G-Y14Z,Completed,5/03/2024 7:00,TGE,Procter & Gamble Australia Pty Ltd,127970554_PO6815072,ASN: 1
Procter & Gamble Australia Pty Ltd,Chemist Warehouse - WA1 - South Guildford,Inbound,PO6786732,PO,,PO,Task 7,MDB-24-7G0G-Y14Z,Completed,5/03/2024 7:00,TGE,Procter & Gamble Australia Pty Ltd,PO6786732,Inbound Pallets (Lifts): 17
Procter & Gamble Australia Pty Ltd,Chemist Warehouse - WA1 - South Guildford,Inbound,127975578_PO6786732,ASN,,ASN,Task 8,MDB-24-7G0G-Y14Z,Completed,5/03/2024 7:00,TGE,Procter & Gamble Australia Pty Ltd,127975578_PO6786732,ASN: 1
Manuka Health Australia,Chemist Warehouse - WA1 - South Guildford,Inbound,PO6816782,PO,,PO,Task 1,MDB-24-0331-09Y9,Completed,5/03/2024 8:45,Mainfreight,Manuka Health Australia,PO6816782,Inbound Pallets (Lifts): 1
Manuka Health Australia,Chemist Warehouse - WA1 - South Guildford,Inbound,260_PO6816782,ASN,,ASN,Task 2,MDB-24-0331-09Y9,Completed,5/03/2024 8:45,Mainfreight,Manuka Health Australia,260_PO6816782,ASN: 1
Body Science International Pty Ltd,Chemist Warehouse - WA1 - South Guildford,Inbound,PO6785372,PO,,PO,Task 3,MDB-24-0331-09Y9,Completed,5/03/2024 8:45,Mainfreight,Body Science International Pty Ltd,PO6785372,Inbound Pallets (Lifts): 1
Body Science International Pty Ltd,Chemist Warehouse - WA1 - South Guildford,Inbound,474045_PO6785372,ASN,,ASN,Task 4,MDB-24-0331-09Y9,Completed,5/03/2024 8:45,Mainfreight,Body Science International Pty Ltd,474045_PO6785372,ASN: 1
BSPS Australia (Ecopure),Chemist Warehouse - WA1 - South Guildford,Inbound,PO6841318,PO,,PO,Task 5,MDB-24-0331-09Y9,Completed,5/03/2024 8:45,Mainfreight,BSPS Australia (Ecopure),PO6841318,Inbound Pallets (Lifts): 2
BSPS Australia (Ecopure),Chemist Warehouse - WA1 - South Guildford,Inbound,8200019415_PO6841318,ASN,,ASN,Task 6,MDB-24-0331-09Y9,Completed,5/03/2024 8:45,Mainfreight,BSPS Australia (Ecopure),8200019415_PO6841318,ASN: 1
Retail Information Sessions,Chemist Warehouse - WA1 - South Guildford,Inbound,Retail Information Sessions,,,,Task 1,MDB-24-78D6-92ZQ,Completed,5/03/2024 10:30,DHL SUPPLY CHAIN,Retail Information Sessions,Retail Information Sessions,Inbound Pallets (Lifts): 1
365 Health Australia Pty Ltd,Chemist Warehouse - WA1 - South Guildford,Inbound,PO6740929,PO,,PO,Task 1,MDB-24-JL74-Y8J6,Completed,5/03/2024 10:30,Direct freight Express,365 Health Australia Pty Ltd,PO6740929,"Inbound Cartons (Lifts): 9, Inbound Pallets (Lifts): 1"
Marketing Brokers Australia Pty Ltd,Chemist Warehouse - WA1 - South Guildford,Inbound,PO6820635,PO,,PO,Task 2,MDB-24-JL74-Y8J6,Completed,5/03/2024 10:30,Direct freight Express,Marketing Brokers Australia Pty Ltd,PO6820635,Inbound Cartons (Lifts): 4
Marketing Brokers Australia Pty Ltd,Chemist Warehouse - WA1 - South Guildford,Inbound,478_PO6820635,ASN,,ASN,Task 3,MDB-24-JL74-Y8J6,Completed,5/03/2024 10:30,Direct freight Express,Marketing Brokers Australia Pty Ltd,478_PO6820635,ASN: 1
Marketing Brokers Australia Pty Ltd,Chemist Warehouse - WA1 - South Guildford,Inbound,479_PO6820635,ASN,,ASN,Task 4,MDB-24-JL74-Y8J6,Completed,5/03/2024 10:30,Direct freight Express,Marketing Brokers Australia Pty Ltd,479_PO6820635,ASN: 1
Marketing Brokers Australia Pty Ltd,Chemist Warehouse - WA1 - South Guildford,Inbound,PO6820635,PO,,PO,Task 1,MDB-24-5ZL2-9Q1L,Completed,5/03/2024 10:30,Direct freight Express,Marketing Brokers Australia Pty Ltd,PO6820635,Inbound Cartons (Lifts): 4
365 Health Australia Pty Ltd,Chemist Warehouse - WA1 - South Guildford,Inbound,PO6740929,PO,,PO,Task 1,MDB-24-YLPD-2PZS,Completed,5/03/2024 10:33,Direct freight Express,365 Health Australia Pty Ltd,PO6740929,Inbound Cartons (Lifts): 9
Optipharm Pty Ltd,Chemist Warehouse - WA1 - South Guildford,Inbound,PO6151235,PO,,,Task 1,MDB-24-24X5-XZ1B,Completed,5/03/2024 11:00,Straightload Transport ,Optipharm Pty Ltd,PO6151235,Inbound Pallets (Lifts): 16
Optipharm Pty Ltd,Chemist Warehouse - WA1 - South Guildford,Inbound,PO6498585,PO,,,Task 2,MDB-24-24X5-XZ1B,Completed,5/03/2024 11:00,Straightload Transport ,Optipharm Pty Ltd,PO6498585,Inbound Pallets (Lifts): 4
IFC GLOBAL LOGISTICS,Chemist Warehouse - WA1 - South Guildford,Inbound,IFC,,,,Task 1,MDB-24-QBXB-QPZS,Completed,5/03/2024 11:30,IFC GLOBAL LOGISTICS,IFC GLOBAL LOGISTICS,IFC,"Inbound Pallets (Lifts): 1, Inbound Cartons (Lifts): 17"
Asaleo Personal Care Pty Ltd,Chemist Warehouse - WA1 - South Guildford,Inbound,PO6798246,PO,,PO,Task 1,MDB-24-144P-JVJB,Completed,5/03/2024 11:45,LINFOX,Asaleo Personal Care Pty Ltd,PO6798246,Inbound Pallets (Lifts): 1
Asaleo Personal Care Pty Ltd,Chemist Warehouse - WA1 - South Guildford,Inbound,PO6841752,PO,,PO,Task 2,MDB-24-144P-JVJB,Completed,5/03/2024 11:45,LINFOX,Asaleo Personal Care Pty Ltd,PO6841752,Inbound Cartons (Lifts): 2
Integria Healthcare (Australia) Pty Ltd,Chemist Warehouse - WA1 - South Guildford,Inbound,PO6862952,PO,,PO,Task 1,MDB-24-0064-5B0J,Completed,6/03/2024 7:30,DHL SUPPLY CHAIN,Integria Healthcare (Australia) Pty Ltd,PO6862952,Inbound Pallets (Lifts): 1
Integria Healthcare (Australia) Pty Ltd,Chemist Warehouse - WA1 - South Guildford,Inbound,83777383_PO6862952,ASN,,ASN,Task 2,MDB-24-0064-5B0J,Completed,6/03/2024 7:30,DHL SUPPLY CHAIN,Integria Healthcare (Australia) Pty Ltd,83777383_PO6862952,ASN: 1
Nutricia Australia Pty Limited,Chemist Warehouse - WA1 - South Guildford,Inbound,PO6847861,PO,,PO,Task 3,MDB-24-0064-5B0J,Completed,6/03/2024 7:30,DHL SUPPLY CHAIN,Nutricia Australia Pty Limited,PO6847861,Inbound Pallets (Lifts): 7
Luxasia Oceania Pty Ltd,Chemist Warehouse - WA1 - South Guildford,Inbound,PO6383764,PO,,,Task 4,MDB-24-0064-5B0J,Completed,6/03/2024 7:30,DHL SUPPLY CHAIN,Luxasia Oceania Pty Ltd,PO6383764,Inbound Pallets (Lifts): 6
The Better Health Company Australia Pty Ltd,Chemist Warehouse - WA1 - South Guildford,Inbound,PO6593924,PO,,,Task 1,MDB-24-JR1R-3774,Completed,6/03/2024 8:15,DHL SUPPLY CHAIN,The Better Health Company Australia Pty Ltd,PO6593924,Inbound Pallets (Lifts): 1
The Better Health Company Australia Pty Ltd,Chemist Warehouse - WA1 - South Guildford,Inbound,PO6531053,PO,,,Task 2,MDB-24-JR1R-3774,Completed,6/03/2024 8:15,DHL SUPPLY CHAIN,The Better Health Company Australia Pty Ltd,PO6531053,Inbound Pallets (Lifts): 1
GlaxoSmithKline Consumer Healthcare Aust. P/L,Chemist Warehouse - WA1 - South Guildford,Inbound,PO6813854,PO,,PO,Task 3,MDB-24-JR1R-3774,Completed,6/03/2024 8:15,DHL SUPPLY CHAIN,GlaxoSmithKline Consumer Healthcare Aust. P/L,PO6813854,Inbound Pallets (Lifts): 3
GlaxoSmithKline Consumer Healthcare Aust. P/L,Chemist Warehouse - WA1 - South Guildford,Inbound,PO6815076,PO,,PO,Task 4,MDB-24-JR1R-3774,Completed,6/03/2024 8:15,DHL SUPPLY CHAIN,GlaxoSmithKline Consumer Healthcare Aust. P/L,PO6815076,Inbound Pallets (Lifts): 1
GlaxoSmithKline Consumer Healthcare Aust. P/L,Chemist Warehouse - WA1 - South Guildford,Inbound,PO6832849,PO,,PO,Task 5,MDB-24-JR1R-3774,Completed,6/03/2024 8:15,DHL SUPPLY CHAIN,GlaxoSmithKline Consumer Healthcare Aust. P/L,PO6832849,Inbound Pallets (Lifts): 1
GlaxoSmithKline Consumer Healthcare Aust. P/L,Chemist Warehouse - WA1 - South Guildford,Inbound,1196533719_PO6815076,ASN,,ASN,Task 6,MDB-24-JR1R-3774,Completed,6/03/2024 8:15,DHL SUPPLY CHAIN,GlaxoSmithKline Consumer Healthcare Aust. P/L,1196533719_PO6815076,ASN: 1
GlaxoSmithKline Consumer Healthcare Aust. P/L,Chemist Warehouse - WA1 - South Guildford,Inbound,1196533685_PO6813854,ASN,,ASN,Task 7,MDB-24-JR1R-3774,Completed,6/03/2024 8:15,DHL SUPPLY CHAIN,GlaxoSmithKline Consumer Healthcare Aust. P/L,1196533685_PO6813854,ASN: 1
GlaxoSmithKline Consumer Healthcare Aust. P/L,Chemist Warehouse - WA1 - South Guildford,Inbound,1196710712_PO6832849,ASN,,ASN,Task 8,MDB-24-JR1R-3774,Completed,6/03/2024 8:15,DHL SUPPLY CHAIN,GlaxoSmithKline Consumer Healthcare Aust. P/L,1196710712_PO6832849,ASN: 1
Integria Healthcare (Australia) Pty Ltd,Chemist Warehouse - WA1 - South Guildford,Inbound,PO6845577,PO,,PO,Task 9,MDB-24-JR1R-3774,Completed,6/03/2024 8:15,DHL SUPPLY CHAIN,Integria Healthcare (Australia) Pty Ltd,PO6845577,Inbound Pallets (Lifts): 1
PUIG,Chemist Warehouse - WA1 - South Guildford,Inbound,PO6841056,PO,,PO,Task 10,MDB-24-JR1R-3774,Completed,6/03/2024 8:15,DHL SUPPLY CHAIN,PUIG,PO6841056,Inbound Pallets (Lifts): 2
Integria Healthcare (Australia) Pty Ltd,Chemist Warehouse - WA1 - South Guildford,Inbound,83777082_PO6845577,ASN,,ASN,Task 11,MDB-24-JR1R-3774,Completed,6/03/2024 8:15,DHL SUPPLY CHAIN,Integria Healthcare (Australia) Pty Ltd,83777082_PO6845577,ASN: 1
PUIG,Chemist Warehouse - WA1 - South Guildford,Inbound,2183336_PO6841056,ASN,,ASN,Task 12,MDB-24-JR1R-3774,Completed,6/03/2024 8:15,DHL SUPPLY CHAIN,PUIG,2183336_PO6841056,ASN: 1
SI & D (Aust) Pty Ltd,Chemist Warehouse - WA1 - South Guildford,Inbound,PO6867585,PO,,PO,Task 1,MDB-24-753J-DZQ4,Completed,6/03/2024 10:00,Startrack Express Perth,SI & D (Aust) Pty Ltd,PO6867585,Inbound Cartons (Lifts): 4
Aspen Pharmacare Australia P/L,Chemist Warehouse - WA1 - South Guildford,Inbound,PO6839818,PO,,PO,Task 1,MDB-24-6P4Q-SJQS,Completed,6/03/2024 11:30,Linfox Healthcare Kewdale,Aspen Pharmacare Australia P/L,PO6839818,Inbound Pallets (Lifts): 2
Aspen Pharmacare Australia P/L,Chemist Warehouse - WA1 - South Guildford,Inbound,0226593787_PO6839818,ASN,,ASN,Task 2,MDB-24-6P4Q-SJQS,Completed,6/03/2024 11:30,Linfox Healthcare Kewdale,Aspen Pharmacare Australia P/L,0226593787_PO6839818,ASN: 1
Mentholatum Australasia Pty Ltd,Chemist Warehouse - WA1 - South Guildford,Inbound,PO6842067,PO,,PO,Task 1,MDB-24-XSZQ-767L,Completed,7/03/2024 7:00,Niche Logistics,Mentholatum Australasia Pty Ltd,PO6842067,Inbound Pallets (Lifts): 1
Mentholatum Australasia Pty Ltd,Chemist Warehouse - WA1 - South Guildford,Inbound,572959_PO6842067,ASN,,ASN,Task 2,MDB-24-XSZQ-767L,Completed,7/03/2024 7:00,Niche Logistics,Mentholatum Australasia Pty Ltd,572959_PO6842067,ASN: 1
Alliance Trading Co Pty Ltd,Chemist Warehouse - WA1 - South Guildford,Inbound,PO6821125,PO,,PO,Task 1,MDB-24-M8Z3-DL1R,Completed,7/03/2024 7:15,GENERAL CARRYING ,Alliance Trading Co Pty Ltd,PO6821125,Inbound Pallets (Lifts): 1
Alliance Trading Co Pty Ltd,Chemist Warehouse - WA1 - South Guildford,Inbound,ASN240220172103_PO6821125,ASN,,ASN,Task 2,MDB-24-M8Z3-DL1R,Completed,7/03/2024 7:15,GENERAL CARRYING ,Alliance Trading Co Pty Ltd,ASN240220172103_PO6821125,ASN: 1
GlaxoSmithKline Consumer Healthcare Aust. P/L,Chemist Warehouse - WA1 - South Guildford,Inbound,PO6857463,PO,,PO,Task 1,MDB-24-PRDS-L4RQ,Completed,7/03/2024 7:30,DHL SUPPLY CHAIN,GlaxoSmithKline Consumer Healthcare Aust. P/L,PO6857463,Inbound Pallets (Lifts): 5
GlaxoSmithKline Consumer Healthcare Aust. P/L,Chemist Warehouse - WA1 - South Guildford,Inbound,1197235506_PO6857463,ASN,,ASN,Task 2,MDB-24-PRDS-L4RQ,Completed,7/03/2024 7:30,DHL SUPPLY CHAIN,GlaxoSmithKline Consumer Healthcare Aust. P/L,1197235506_PO6857463,ASN: 1
Johnson & Johnson Pacific,Chemist Warehouse - WA1 - South Guildford,Inbound,PO6845573,PO,,PO,Task 3,MDB-24-PRDS-L4RQ,Completed,7/03/2024 7:30,DHL SUPPLY CHAIN,Johnson & Johnson Pacific,PO6845573,Inbound Pallets (Lifts): 2
Johnson & Johnson Pacific,Chemist Warehouse - WA1 - South Guildford,Inbound,0720473969_PO6845573,ASN,,ASN,Task 4,MDB-24-PRDS-L4RQ,Completed,7/03/2024 7:30,DHL SUPPLY CHAIN,Johnson & Johnson Pacific,0720473969_PO6845573,ASN: 1
PZ Cussons Australia Pty Ltd,Chemist Warehouse - WA1 - South Guildford,Inbound,PO6821715,PO,,PO,Task 1,MDB-24-4P3Y-1YM0,Completed,7/03/2024 8:00,CTI Logistics,PZ Cussons Australia Pty Ltd,PO6821715,Inbound Pallets (Lifts): 2
PZ Cussons Australia Pty Ltd,Chemist Warehouse - WA1 - South Guildford,Inbound,0081995062_PO6821715,ASN,,ASN,Task 2,MDB-24-4P3Y-1YM0,Completed,7/03/2024 8:00,CTI Logistics,PZ Cussons Australia Pty Ltd,0081995062_PO6821715,ASN: 1
